nofish,livebait,camper,persons,child,xb,zg,count
1,0,0,1,0,-0.896314561,3.050404787,0
0,1,1,1,0,-0.55834496,1.746148944,5
0,1,0,1,0,-0.401731014,0.279938877,7
0,1,1,2,1,-0.956298113,-0.601525664,0
0,1,0,1,0,0.43689096,0.527709126,0
0,1,1,4,2,1.394485474,-0.70753479,0
0,1,0,3,1,0.184716746,-3.398022175,6
0,1,0,4,3,2.329106569,-5.450901508,0
1,0,1,3,2,0.188386485,-1.527417779,0
0,1,1,1,0,0.287689924,1.3938905,0
0,1,0,4,1,1.99095273,-1.933189988,2
0,1,1,3,2,1.317893147,-2.471574545,0
1,0,0,3,0,0.298041672,1.591265202,4
0,1,0,3,0,1.290873408,0.829534888,0
0,1,1,1,0,-0.06088984,2.82057929,6
1,1,1,1,0,0.370049208,2.158344984,0
0,1,0,4,1,1.979093432,-3.069952726,0
1,1,1,3,2,0.715337098,-1.952804923,0
0,1,1,2,1,1.516053081,-0.186567351,6
0,1,0,3,1,-0.034895968,-0.118922494,4
0,1,0,4,1,1.178230286,0.001856566,5
0,1,1,4,0,1.642111778,1.892821312,0
0,1,1,2,1,0.597727358,-0.294278145,0
0,1,1,2,0,1.139723063,1.931791067,0
0,1,1,3,0,3.500297546,1.451270819,0
0,1,1,2,0,-0.789978385,2.817448616,0
0,1,1,4,0,2.662356138,1.656562567,4
0,1,0,2,1,1.606172442,-1.064542532,4
0,1,0,1,0,0.01855018,0.080798268,0
0,1,0,4,3,3.034559011,-4.824044704,0
0,1,0,1,0,0.051000755,0.921823859,0
0,1,1,3,1,0.745258808,-0.663867116,0
0,1,1,4,0,2.453136683,3.508367777,3
0,1,1,4,1,2.352706671,0.176609725,0
0,1,1,1,0,-1.108257532,0.772088408,0
1,0,0,2,0,0.515419424,1.656657577,0
1,1,1,2,1,1.982768536,-0.642237127,0
1,1,1,4,1,2.066855907,1.244507432,0
1,1,1,3,1,0.095011771,-2.268660784,6
0,1,1,4,1,5.352674007,-1.472992539,2
0,1,1,1,0,-0.711813927,3.02047801,0
0,1,1,4,0,3.484046221,2.355652809,0
1,0,0,3,2,2.400906324,-3.086473703,4
1,0,1,4,0,0.376028478,2.676077843,5
1,1,0,4,2,1.085056424,-2.654790401,4
0,1,1,1,0,-1.067198753,2.133044958,3
0,1,1,2,1,0.322997063,0.303436488,3
0,1,0,1,0,0.501066327,1.553161621,0
0,1,1,2,1,2.011488438,0.627036452,0
0,1,0,2,1,0.95714736,-2.05817461,0
0,1,1,2,1,1.114434004,0.284732074,0
0,1,1,2,1,-0.673830032,-0.708101988,7
0,1,1,4,0,3.196705818,1.515483379,0
1,0,0,2,0,-0.3863208,2.079587936,1
0,1,1,3,0,2.718511581,2.629312992,8
1,0,1,1,0,-1.269290566,4.179599762,5
0,1,1,1,0,-1.087805986,2.122612953,0
0,1,1,1,0,-0.984578311,1.351520896,5
1,1,1,4,1,1.872467756,1.261176825,0
1,1,1,1,0,1.547955513,1.628988385,0
0,1,0,2,0,1.004094243,1.083624601,2
0,1,1,2,1,-0.165202618,2.095250368,4
0,1,0,2,1,1.471645236,-0.073470898,3
0,1,1,4,0,3.489336014,2.547997475,0
0,1,0,4,3,1.885775805,-4.232519627,4
0,1,1,1,0,-2.272530079,1.600753188,0
0,1,0,1,0,0.613840997,1.111755967,6
1,1,0,3,2,2.878997564,-2.766067028,0
1,1,1,1,0,-0.944848835,2.011607885,5
0,1,1,2,1,0.820035219,-1.285437942,0
0,1,1,3,0,2.088183641,2.268748283,2
0,1,0,4,3,2.16530633,-5.035178185,0
1,0,0,4,2,0.55752635,-2.696651697,0
0,1,1,3,2,-0.627695501,-3.22431159,0
1,0,1,1,0,-3.275050163,0.913391829,0
0,1,0,2,0,0.307397574,-0.431482762,0
0,1,0,3,2,0.459303737,-3.140106678,0
1,1,1,1,0,-0.188099161,3.267445326,0
0,1,0,2,1,-0.19742322,-0.238331914,0
0,1,0,4,0,0.901133239,1.39392221,0
0,1,1,4,1,2.22973752,-0.410112113,4
1,1,0,2,1,1.150078893,-0.320476443,0
0,1,1,3,0,1.716530919,2.654059887,3
0,1,0,1,0,-0.465738386,0.246082529,0
0,1,1,1,0,1.019573331,1.718844175,0
1,0,0,3,1,1.867413759,-0.54847914,0
1,0,0,4,1,0.714378536,-2.550681114,0
1,1,1,1,0,0.044008121,2.26295495,3
0,1,1,4,0,5.005039692,3.572134256,0
0,1,1,3,2,2.461556435,-2.769872427,2
0,1,1,3,1,1.570416808,-0.390616268,0
0,1,0,2,0,-1.490852475,0.088999458,2
0,1,1,3,0,-0.865133345,0.972079754,3
0,1,0,2,1,0.833803177,0.023357686,4
0,1,0,4,2,2.208499908,-1.734373331,0
0,1,1,3,1,1.633207917,-1.501252651,0
0,1,0,4,2,1.524009705,-4.324279785,0
1,0,0,4,0,2.491374731,-0.722057521,0
0,1,1,2,0,1.084769011,2.963002682,0
0,1,0,4,0,3.59467721,0.860208869,2
0,1,1,1,0,1.128834605,2.060700417,4
1,0,1,2,0,-0.385939926,2.26627636,3
0,1,0,4,2,2.21350956,-2.06809473,0
1,0,0,3,0,2.518778086,-0.110921405,0
